City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,college,64.8569,-147.8028,17.55,37,75,3.09,US,1684373864
131,saint-philippe,-21.3585,55.7679,23.77,80,5,0.98,RE,1684373864
132,mil'kovo,55.6078,37.7956,11.08,81,100,2.01,RU,1684373864
133,ferkessedougou,9.6,-5.2,25.66,77,79,1.92,CI,1684373864
134,sao vicente,-23.9631,-46.3919,20.55,26,42,1.37,BR,1684373864
135,petauke,-14.2426,31.3253,15.01,69,13,1.96,ZM,1684373864
136,port lincoln,-34.7333,135.8667,14.84,52,100,2.71,AU,1684373864
137,namibe,-15.1961,12.1522,19.91,65,9,4.71,AO,1684373865
138,tura,25.5198,90.2201,25.53,66,0,2.28,IN,1684373442
139,puerto baquerizo moreno,-0.9,-89.6,25.9,82,100,5.5,EC,1684373865
140,eldorado at santa fe,35.5264,-105.9347,16.03,68,100,9.77,US,1684373865
141,uttarkashi,30.7333,78.45,24.84,31,100,1.11,IN,1684373865
142,novodvinsk,64.4165,40.8122,14.34,73,100,2.17,RU,1684373865
143,queenstown,-31.8976,26.8753,7.01,86,88,1.19,ZA,1684373866
144,nyandoma,61.669,40.1991,12.46,67,71,3.48,RU,1684373866
145,castelo branco,39.8222,-7.4909,10.69,36,0,4.76,PT,1684373866
146,lichinga,-13.3128,35.2406,12.86,81,100,2.11,MZ,1684373866
147,port mathurin,-19.6833,63.4167,25.84,75,92,4.74,MU,1684373866
148,smithers,54.7804,-127.1743,30.18,14,20,3.09,CA,1684373866
149,utrik,11.2278,169.8474,27.37,78,20,7.39,MH,1684373866
150,vilyuysk,63.7553,121.6247,4.17,59,98,3.8,RU,1684373867
151,labytnangi,66.6572,66.4183,4.76,86,90,2.14,RU,1684373867
152,howrah,22.5892,88.3103,28.0,89,75,4.63,IN,1684373577
153,tinghir,31.5157,-5.5343,13.53,49,38,2.65,MA,1684373867
154,pimenta bueno,-11.6725,-61.1936,23.17,86,5,0.66,BR,1684373867
155,kailua-kona,19.6406,-155.9956,28.98,79,40,5.14,US,1684373643
156,borzya,50.3833,116.5167,17.5,18,100,5.32,RU,1684373868
157,lionel town,17.8101,-77.2406,28.94,83,42,2.19,JM,1684373868
158,ilulissat,69.2167,-51.1,1.01,80,100,2.06,GL,1684373868
159,papatowai,-46.5619,169.4708,9.28,93,100,3.49,NZ,1684373868
160,lodja,-3.4833,23.4333,21.31,95,81,0.55,CD,1684373868
161,coxim,-18.5067,-54.76,17.86,57,1,2.15,BR,1684373628
162,guerrero negro,27.9769,-114.0611,15.85,81,0,7.61,MX,1684373738
163,rakops,-21.0167,24.3333,16.25,71,70,2.88,BW,1684373869
164,axim,4.8699,-2.2405,26.99,84,100,2.57,GH,1684373869
165,xifeng,42.7372,124.7222,20.07,37,0,1.39,CN,1684373869
166,ambovombe,-25.1667,46.0833,17.8,85,3,1.24,MG,1684373869
